id,name
0DvvojCMIqsOT1Btiwvq1h,Sidonie Radio
3Y9UedETQztUmRuB2pYaGR,Rubick
6ng2L9Pwj7NeXm0vJW8LLr,Plastic Frostik Machine
0QAlsftQZIVyNXDtK7PEt2,Oudry
32qUUy6h1wKd5jN4vRSF20,SPRSBMRN
7kc7HZFnOwUWd8dL8jypPf,Fumangie
07L8VAxYnAlJwnNEWdTIHI,Código Bushido
3A6TC7BhsBm8LktswCdm0X,Pull My Strings
5FeE1flsA6Vuzi4uCMtpEC,Affiliated Soldierz & DJ Good Grief
7oJlnzQBZE2SAS1JrQHI3F,The Repente Jons
4LVKk2qM6bwMYHT3fg5sCN,I love you penny
5wbq8xuXzD2EONQZDhZVoQ,Jesus Ksavie
7ofTH0nFjkbKuRTpazOzzV,Eme DJ feat. Nimio
7e9esbJQ7IVwkxpqjSEFL9,Genérica
4xirLzVl1nnPPBgUFvFbFh,Igloo
5N6NpGkfs4tFA4HLjNA7xh,Nutopía
2qxp4iVVSlrFAImfZmPmsP,Los News
4hyy9Yw1ZxHW2WndWc92h8,The Bright
3fF0uc3b2sQ5Gc3R09oWej,Parametrica
2VXQKnUs5dpfG6j7AtrH0b,Octubre Polar
7vHKCt7yOiBg1Hci7izDLh,Kuve
6S3nAGEmdt4nhPrtBJ56Ga,William Pitt
5Tbx1DjctXEQnR9UBJmU9r,"Bonnie Bianco, Pierre Cosso"
6Dxf1ZaJBrpbumiqTTnlIH,Taco
05GsKvp0yKuCyWQMsPAAmB,Nick Kamen
0ipBu57ONv2AW0Pxpc2etO,Moon Ray
2N3LtIOsdqHwsSlVFVFxqd,Valerie Etienne
1DAWGgvSJDJwvSy2DHuYM6,Conner Reeves
4vZduJO8Uukqzx64de5JxV,Robin Gibb
6mFwMkTXmRlflncPi3huai,Kind Of Blue
1MJMOsdzGMni8FXm40mfEU,Moti Special
6hfVCgKTJbLM6M18e2z7OI,Righeira
0eVHJVD0Z0vafCivIY2XGJ,Big
7fcUoP9P3QEP2m8jdQWTh9,Fox the Fox
0IekLXmUEHqD3nEFpwB3kE,Bourgeois Tagg
3fsCWTIuWIRvEGS7gerSJX,Jennifer Rush
3HOHkhvP9X5NoTqKPUGKT9,The Catch
5nJzQzrjSNU95UVFHtDQWl,MISTER
5bA1TGkZ4mXFNfP0BxAsIH,B.V.S.M.P.
6JCHQXLShHX8EnLKCIYDm8,K.E.
40MX6ONfpMJwrWdTajaRUf,The Shorts
5BwOOeKayeMZXa5SSaiRxv,Ricchi E Poveri
0VLMVnVbJyJ4oyZs2L3Yl2,Las Viudas De Los Bisabuelos
6yJIuZFLnlAe47DKobH45J,"Tampax Goyesca, Comparsa Fina Y Segura"
5QNqh0mFcqoGsdzHGMvT1u,Los Superpop
3HDrX2OtSuXLW5dLR85uN3,Los Que No Paran De Rajar
0Ik0N7B22ry8BvdxvDGnG0,Las Pito Risas
4tkGMeZkhOXyk4U9RzvP14,Una Chirigota Con Clase
0zMJmvs0RriumGJSAiduOw,Los Puretas Del Caribe
5miZb7rLRNlv5NF8meLgOk,Los Lacios
0muEwnW8BH3RXdGnQyxEyo,"Salón De Belleza “El Tijeritas"""
4sBmoMtQBJXQMIxYwuLR5I,"Los Pavos Reales, Una Especie En Extinción"
0dt23bs4w8zx154C5xdVyl,Los De Capuchinos
5qr3WvyioJJApp99FFfqob,Ricas Y Maduras
2xLXLQHK0IWHZs2QtZmPYG,El Que La Lleva La Entiende
5Jom56fA36Ebl5YjdVc1EM,Los de Cádiz Norte
5YpG4yABnjezWZ4ugXZoMP,Los Juancojones
1iQSfAaT7W2KQzAq37HRpf,Los Que Salimos Por Gusto
5DmGsfNDvTcoJA7SR092aR,Los Arapajoes Que Joe
0pGhoB99qpEJEsBQxgaskQ,Los “Pofesionales”
4HYb8tOV3neg8JMklbQIaW,"Los del Planeta Rojo, Pero Rojo, Rojo"
0OSGasYpFS2fqrVaFNfJic,Los De Gris
0Nemf4TBQz130rW50aV844,Ay! Que Malito Estoy Y Que Poquito Me Quejo
0dt23bs4w8zx154C5xdVyl,Los De Capuchinos
6yJIuZFLnlAe47DKobH45J,"Tampax Goyesca, Comparsa Fina Y Segura"
0Ik0N7B22ry8BvdxvDGnG0,Las Pito Risas
7mCB2ez7kzv32Yuds8ltlL,Los Aguafiestas
5YpG4yABnjezWZ4ugXZoMP,Los Juancojones
3HDrX2OtSuXLW5dLR85uN3,Los Que No Paran De Rajar
5DmGsfNDvTcoJA7SR092aR,Los Arapajoes Que Joe
4sBmoMtQBJXQMIxYwuLR5I,"Los Pavos Reales, Una Especie En Extinción"
0pGhoB99qpEJEsBQxgaskQ,Los “Pofesionales”
5qr3WvyioJJApp99FFfqob,Ricas Y Maduras
0muEwnW8BH3RXdGnQyxEyo,"Salón De Belleza “El Tijeritas"""
4tkGMeZkhOXyk4U9RzvP14,Una Chirigota Con Clase
0zMJmvs0RriumGJSAiduOw,Los Puretas Del Caribe
3gLOOsBrd2RJnDDXXLVgQv,Los Juan Palomez
5EFuj9hXUCd4Gqs1vR8oUI,"Los Príncipes Encantados, Gracias Igualmente"
2xLXLQHK0IWHZs2QtZmPYG,El Que La Lleva La Entiende
