name,artist_to,popularity
Justin Bieber,ZAYN,100
Justin Bieber,Shawn Mendes,100
Justin Bieber,Camila Cabello,100
Justin Bieber,Niall Horan,100
Justin Bieber,Selena Gomez,100
Justin Bieber,Demi Lovato,100
Justin Bieber,Fifth Harmony,100
Justin Bieber,Alessia Cara,100
Justin Bieber,Bazzi,100
Justin Bieber,Zara Larsson,100
Justin Bieber,Liam Payne,100
Justin Bieber,Julia Michaels,100
Justin Bieber,The Vamps,100
Justin Bieber,Nick Jonas,100
Justin Bieber,Khalid,100
Justin Bieber,Jonas Brothers,100
Justin Bieber,Ariana Grande,100
Justin Bieber,Ruel,100
Justin Bieber,Hailee Steinfeld,100
Justin Bieber,PRETTYMUCH,100
Bad Bunny,Lunay,98
Bad Bunny,Nio Garcia,98
Bad Bunny,Mau y Ricky,98
Bad Bunny,Anuel AA,98
Bad Bunny,Chris Jedi,98
Bad Bunny,KAROL G,98
Bad Bunny,Ozuna,98
Bad Bunny,Brytiago,98
Bad Bunny,Bryant Myers,98
Bad Bunny,Tainy,98
Bad Bunny,Myke Towers,98
Bad Bunny,Rvssian,98
Bad Bunny,Rauw Alejandro,98
Bad Bunny,Miky Woodz,98
Bad Bunny,Lary Over,98
Bad Bunny,Danny Ocean,98
Bad Bunny,Alex Rose,98
Bad Bunny,Kevin Roldan,98
Bad Bunny,Jon Z,98
Bad Bunny,El Alfa,98
Taylor Swift,Demi Lovato,98
Taylor Swift,Alessia Cara,98
Taylor Swift,Lorde,98
Taylor Swift,Troye Sivan,98
Taylor Swift,Camila Cabello,98
Taylor Swift,Selena Gomez,98
Taylor Swift,Carly Rae Jepsen,98
Taylor Swift,ZAYN,98
Taylor Swift,Fifth Harmony,98
Taylor Swift,Miley Cyrus,98
Taylor Swift,Jonas Brothers,98
Taylor Swift,Julia Michaels,98
Taylor Swift,Selena Gomez & The Scene,98
Taylor Swift,Niall Horan,98
Taylor Swift,Meghan Trainor,98
Taylor Swift,Kesha,98
Taylor Swift,Halsey,98
Taylor Swift,Kelly Clarkson,98
Taylor Swift,Hannah Montana,98
Taylor Swift,Hailee Steinfeld,98
Drake,Big Sean,98
Drake,J. Cole,98
Drake,Wale,98
Drake,Meek Mill,98
Drake,Jeremih,98
Drake,Rick Ross,98
Drake,DJ Khaled,98
Drake,2 Chainz,98
Drake,PARTYNEXTDOOR,98
Drake,French Montana,98
Drake,Tory Lanez,98
Drake,Bryson Tiller,98
Drake,Young Thug,98
Drake,Tyga,98
Drake,Metro Boomin,98
Drake,Ty Dolla $ign,98
Drake,Lil Wayne,98
Drake,Kendrick Lamar,98
Drake,6LACK,98
Drake,Migos,98
BTS,j-hope,96
BTS,RM,96
BTS,V,96
BTS,Stray Kids,96
BTS,Eric Nam,96
BTS,SEVENTEEN,96
BTS,Monsta X,96
BTS,NCT 127,96
BTS,DAY6,96
BTS,GOT7,96
BTS,NCT,96
BTS,The Rose,96
BTS,PENTAGON,96
BTS,MAMAMOO,96
BTS,Agust D,96
BTS,TOMORROW X TOGETHER,96
BTS,THE BOYZ,96
BTS,TAEMIN,96
BTS,Jackson Wang,96
BTS,EXO,96
Juice WRLD,Internet Money,96
Juice WRLD,Comethazine,96
Juice WRLD,iann dior,96
Juice WRLD,NAV,96
Juice WRLD,YBN Nahmir,96
Juice WRLD,Lil Yachty,96
Juice WRLD,Lil Mosey,96
Juice WRLD,Lil Pump,96
Juice WRLD,Blueface,96
Juice WRLD,XXXTENTACION,96
Juice WRLD,6ix9ine,96
Juice WRLD,Kodak Black,96
Juice WRLD,Famous Dex,96
Juice WRLD,Trippie Redd,96
Juice WRLD,Lil Tecca,96
Juice WRLD,Lil Uzi Vert,96
Juice WRLD,Lil Tracy,96
Juice WRLD,Flipp Dinero,96
Juice WRLD,YNW Melly,96
Juice WRLD,Don Toliver,96
The Weeknd,Frank Ocean,96
The Weeknd,A$AP Rocky,96
The Weeknd,PARTYNEXTDOOR,96
The Weeknd,Childish Gambino,96
The Weeknd,Miguel,96
The Weeknd,Kendrick Lamar,96
The Weeknd,Big Sean,96
The Weeknd,Jeremih,96
The Weeknd,Bryson Tiller,96
The Weeknd,Roy Woods,96
The Weeknd,Majid Jordan,96
The Weeknd,6LACK,96
The Weeknd,dvsn,96
The Weeknd,DJ Khaled,96
The Weeknd,Jhené Aiko,96
The Weeknd,"Tyler, The Creator",96
The Weeknd,ScHoolboy Q,96
The Weeknd,French Montana,96
The Weeknd,Jaden,96
The Weeknd,Wale,96
Ariana Grande,Camila Cabello,95
Ariana Grande,Fifth Harmony,95
Ariana Grande,Selena Gomez,95
Ariana Grande,Alessia Cara,95
Ariana Grande,Demi Lovato,95
Ariana Grande,ZAYN,95
Ariana Grande,Hailee Steinfeld,95
Ariana Grande,Zara Larsson,95
Ariana Grande,Julia Michaels,95
Ariana Grande,Madison Beer,95
Ariana Grande,Bea Miller,95
Ariana Grande,Chloe x Halle,95
Ariana Grande,Miley Cyrus,95
Ariana Grande,Doja Cat,95
Ariana Grande,Little Mix,95
Ariana Grande,Halsey,95
Ariana Grande,Tinashe,95
Ariana Grande,Nicki Minaj,95
Ariana Grande,Meghan Trainor,95
Ariana Grande,Dua Lipa,95
J Balvin,Reykon,95
J Balvin,Danny Ocean,95
J Balvin,Farruko,95
J Balvin,Zion & Lennox,95
J Balvin,Maluma,95
J Balvin,Arcangel,95
J Balvin,Wisin,95
J Balvin,J Alvarez,95
J Balvin,Nicky Jam,95
J Balvin,Tainy,95
J Balvin,Alexis y Fido,95
J Balvin,Manuel Turizo,95
J Balvin,Piso 21,95
J Balvin,Jowell & Randy,95
J Balvin,De La Ghetto,95
J Balvin,Cali Y El Dandee,95
J Balvin,Yandel,95
J Balvin,Lunay,95
J Balvin,Tony Dize,95
J Balvin,Chris Jedi,95
Myke Towers,Lunay,95
Myke Towers,Brytiago,95
Myke Towers,Bryant Myers,95
Myke Towers,Nio Garcia,95
Myke Towers,Lary Over,95
Myke Towers,Cauty,95
Myke Towers,Amenazzy,95
Myke Towers,Jhay Cortez,95
Myke Towers,Rvssian,95
Myke Towers,Alex Rose,95
Myke Towers,DJ Luian,95
Myke Towers,Miky Woodz,95
Myke Towers,Casper Magico,95
Myke Towers,Kevin Roldan,95
Myke Towers,Noriel,95
Myke Towers,Jon Z,95
Myke Towers,Rauw Alejandro,95
Myke Towers,Anuel AA,95
Myke Towers,Darell,95
Myke Towers,Jory Boy,95
Dua Lipa,Selena Gomez,95
Dua Lipa,Rita Ora,95
Dua Lipa,Years & Years,95
Dua Lipa,Fifth Harmony,95
Dua Lipa,Zara Larsson,95
Dua Lipa,Camila Cabello,95
Dua Lipa,Ellie Goulding,95
Dua Lipa,Ava Max,95
Dua Lipa,Alessia Cara,95
Dua Lipa,Jess Glynne,95
Dua Lipa,DNCE,95
Dua Lipa,Demi Lovato,95
Dua Lipa,Halsey,95
Dua Lipa,Miley Cyrus,95
Dua Lipa,ZAYN,95
Dua Lipa,Madison Beer,95
Dua Lipa,Anne-Marie,95
Dua Lipa,Mabel,95
Dua Lipa,Julia Michaels,95
Dua Lipa,Sia,95
Eminem,D12,94
Eminem,The Game,94
Eminem,Bad Meets Evil,94
Eminem,Hopsin,94
Eminem,Yelawolf,94
Eminem,Tech N9ne,94
Eminem,50 Cent,94
Eminem,Dr. Dre,94
Eminem,T.I.,94
Eminem,G-Unit,94
Eminem,Xzibit,94
Eminem,Ice Cube,94
Eminem,DMX,94
Eminem,Obie Trice,94
Eminem,Snoop Dogg,94
Eminem,Ludacris,94
Eminem,N.W.A.,94
Eminem,B.o.B,94
Eminem,Joyner Lucas,94
Eminem,The Notorious B.I.G.,94
Travis Scott,A$AP Rocky,94
Travis Scott,Chief Keef,94
Travis Scott,KIDS SEE GHOSTS,94
Travis Scott,Joey Bada$$,94
Travis Scott,A$AP Ferg,94
Travis Scott,Pusha T,94
Travis Scott,Kendrick Lamar,94
Travis Scott,Lil Uzi Vert,94
Travis Scott,Playboi Carti,94
Travis Scott,Metro Boomin,94
Travis Scott,Huncho Jack,94
Travis Scott,Chance the Rapper,94
Travis Scott,A$AP Mob,94
Travis Scott,Meek Mill,94
Travis Scott,ScHoolboy Q,94
Travis Scott,Kodak Black,94
Travis Scott,Quavo,94
Travis Scott,Childish Gambino,94
Travis Scott,Migos,94
Travis Scott,2 Chainz,94
Ozuna,Chris Jedi,93
Ozuna,KAROL G,93
Ozuna,Nio Garcia,93
Ozuna,Brytiago,93
Ozuna,Lunay,93
Ozuna,Myke Towers,93
Ozuna,Mau y Ricky,93
Ozuna,Manuel Turizo,93
Ozuna,Rvssian,93
Ozuna,Bryant Myers,93
Ozuna,Kevin Roldan,93
Ozuna,Lary Over,93
Ozuna,Bad Bunny,93
Ozuna,Amenazzy,93
Ozuna,Lalo Ebratt,93
Ozuna,Casper Magico,93
Ozuna,Danny Ocean,93
Ozuna,Miky Woodz,93
Ozuna,Jhay Cortez,93
Ozuna,Tainy,93
Lil Baby,Lil Keed,93
Lil Baby,Gunna,93
Lil Baby,Kodak Black,93
Lil Baby,Metro Boomin,93
Lil Baby,Fredo Bang,93
Lil Baby,21 Savage,93
Lil Baby,YoungBoy Never Broke Again,93
Lil Baby,Quavo,93
Lil Baby,A Boogie Wit da Hoodie,93
Lil Baby,Tee Grizzley,93
Lil Baby,Roddy Ricch,93
Lil Baby,Don Toliver,93
Lil Baby,NAV,93
Lil Baby,Lil Yachty,93
Lil Baby,Doe Boy,93
Lil Baby,Quando Rondo,93
Lil Baby,Key Glock,93
Lil Baby,Strick,93
Lil Baby,Turbo,93
Lil Baby,Sada Baby,93
DaBaby,Lil Tecca,93
DaBaby,Blueface,93
DaBaby,YNW Melly,93
DaBaby,Roddy Ricch,93
DaBaby,Lil Mosey,93
DaBaby,Quando Rondo,93
DaBaby,Cordae,93
DaBaby,Gunna,93
DaBaby,Kodak Black,93
DaBaby,Tee Grizzley,93
DaBaby,Moneybagg Yo,93
DaBaby,YoungBoy Never Broke Again,93
DaBaby,Flipp Dinero,93
DaBaby,Rich The Kid,93
DaBaby,NAV,93
DaBaby,Quavo,93
DaBaby,Comethazine,93
DaBaby,YBN Nahmir,93
DaBaby,NLE Choppa,93
DaBaby,YK Osiris,93
Bruno Mars,Jason Derulo,93
Bruno Mars,Sean Kingston,93
Bruno Mars,Jessie J,93
Bruno Mars,Olly Murs,93
Bruno Mars,Ne-Yo,93
Bruno Mars,The Script,93
Bruno Mars,Katy Perry,93
Bruno Mars,Jason Mraz,93
Bruno Mars,Flo Rida,93
Bruno Mars,Christina Perri,93
Bruno Mars,One Direction,93
Bruno Mars,Charlie Puth,93
Bruno Mars,Train,93
Bruno Mars,Justin Timberlake,93
Bruno Mars,Maroon 5,93
Bruno Mars,DNCE,93
Bruno Mars,Meghan Trainor,93
Bruno Mars,Fifth Harmony,93
Bruno Mars,B.o.B,93
Bruno Mars,The Vamps,93
Rauw Alejandro,Jhay Cortez,93
Rauw Alejandro,Cauty,93
Rauw Alejandro,Amenazzy,93
Rauw Alejandro,DJ Luian,93
Rauw Alejandro,Myke Towers,93
Rauw Alejandro,Alex Rose,93
Rauw Alejandro,Casper Magico,93
Rauw Alejandro,Lunay,93
Rauw Alejandro,Miky Woodz,93
Rauw Alejandro,Jon Z,93
Rauw Alejandro,Darell,93
Rauw Alejandro,Brytiago,93
Rauw Alejandro,Nio Garcia,93
Rauw Alejandro,Lary Over,93
Rauw Alejandro,Anuel AA,93
Rauw Alejandro,Noriel,93
Rauw Alejandro,Bryant Myers,93
Rauw Alejandro,Lalo Ebratt,93
Rauw Alejandro,Dalex,93
Rauw Alejandro,Kevin Roldan,93
Post Malone,Rae Sremmurd,93
Post Malone,Huncho Jack,93
Post Malone,Quality Control,93
Post Malone,Metro Boomin,93
Post Malone,Tyla Yaweh,93
Post Malone,6LACK,93
Post Malone,Migos,93
Post Malone,The Kid LAROI,93
Post Malone,NAV,93
Post Malone,A$AP Ferg,93
Post Malone,PnB Rock,93
Post Malone,Quavo,93
Post Malone,Young Thug,93
Post Malone,Fetty Wap,93
Post Malone,Desiigner,93
Post Malone,French Montana,93
Post Malone,Trippie Redd,93
Post Malone,Bazzi,93
Post Malone,Bryce Vine,93
Post Malone,Big Sean,93
Anuel AA,Nio Garcia,92
Anuel AA,Lunay,92
Anuel AA,Rvssian,92
Anuel AA,Jon Z,92
Anuel AA,Brytiago,92
Anuel AA,Bryant Myers,92
Anuel AA,Myke Towers,92
Anuel AA,Bad Bunny,92
Anuel AA,Chris Jedi,92
Anuel AA,Tainy,92
Anuel AA,Mau y Ricky,92
Anuel AA,Cauty,92
Anuel AA,Noriel,92
Anuel AA,Lalo Ebratt,92
Anuel AA,Sech,92
Anuel AA,Cazzu,92
Anuel AA,Manuel Turizo,92
Anuel AA,Danny Ocean,92
Anuel AA,Lary Over,92
Anuel AA,Revol,92
